film,mentions,year,imdb_categories,imdb_ratings,imdb_average
8 1/2,1,1963,Drama,106549,8
About Time,2,2013,"Comedy, Drama, Fantasy",290138,7.8
Avatar,1,2009,"Action, Adventure, Fantasy",1101824,7.8
Avengers: Endgame,1,2019,"Action, Adventure, Drama",757234,8.4
Avengers: Infinity War,1,2018,"Action, Adventure, Sci-Fi",797897,8.4
Back to the Future,1,1985,"Adventure, Comedy, Sci-Fi",1028512,8.5
Beaches,1,1988,"Comedy, Drama, Music",22853,7
Beetlejuice,1,1988,"Comedy, Fantasy",252202,7.5
Being John Malkovich,1,1999,"Comedy, Drama, Fantasy",305543,7.7
Black Panther,1,2018,"Action, Adventure, Sci-Fi",599867,7.3
Castle in the Sky,1,1986,"Animation, Adventure, Drama",145499,8
Coming To America,1,1988,"Comedy, Romance",160533,7
Eternal Sunshine of the Spotless Mind,1,2004,"Drama, Romance, Sci-Fi",890827,8.3
Eurovision Song Contest: The Story of Fire Saga,1,2020,"Comedy, Music",63055,6.5
Everybody Wants Some!!,1,2016,Comedy,50997,6.9
Face/Off,1,1997,"Action, Crime, Sci-Fi",343726,7.3
Farewell My Concubine: the Beijing Opera,1,2014,Musical,6,6.3
Get Smart,1,2008,"Action, Adventure, Comedy",200856,6.5
Harold and Maude,1,1971,"Comedy, Drama, Romance",69523,7.9
Hidden Figures,1,2016,"Biography, Drama, History",193578,7.8
Home Alone,1,1990,"Comedy, Family",451924,7.6
Hot Fuzz,1,2007,"Action, Comedy, Mystery",454502,7.8
House Party 2,1,1991,"Comedy, Drama, Music",5921,5.3
Inception,2,2010,"Action, Adventure, Sci-Fi",2005958,8.8
Interstellar,1,2014,"Adventure, Drama, Sci-Fi",1452157,8.6
La La Land,2,2016,"Comedy, Drama, Music",488731,8
Life As We Know It,1,2010,"Comedy, Drama, Romance",120509,6.5
Lord of the Rings: The Fellowship of the Ring,1,2001,"Action, Adventure, Drama",1621198,8.8
Matilda,1,1996,"Comedy, Family, Fantasy",123854,6.9
Memento,1,2000,"Mystery, Thriller",1100173,8.4
Mission Impossible II,1,2000,"Action, Adventure, Thriller",308837,6.1
Monte Carlo,1,2011,"Adventure, Comedy, Family",40586,5.8
My Big Fat Greek Wedding,1,2002,"Comedy, Drama, Romance",118149,6.5
Notting Hill,1,1999,"Comedy, Drama, Romance",265553,7.1
Pather Panchali,1,1955,Drama,22272,8.6
Pride and Prejudice,1,2005,"Drama, Romance",248225,7.8
Resident Evil,1,2002,"Action, Horror, Sci-Fi",243378,6.7
Scent of a Woman,1,,,,
Scott Pilgrim vs. The World,1,,,,
Seven Psychopaths,1,,,,
Spirited Away,1,,,,
Still Walking,1,,,,
Takers,1,,,,
Tangled,1,,,,
The Big Lebowski,1,,,,
The Black Swan,1,,,,
The Dark Knight,1,,,,
The Dark Knight Rises,1,,,,
The Girl with the Dragon Tattoo,1,,,,
The Godfather,1,,,,
The Grand Budapest Hotel,1,,,,
The Greatest Showman,1,,,,
The Grey,1,,,,
The Grinch,1,,,,
The Hateful Eight,1,,,,
The King's Speech,1,,,,
The Matrix,1,,,,
The Parent Trap,1,,,,
The Secret Life of Walter Mitty (2013),1,,,,
The Shawshank Redemption,1,,,,
The Silence of the Lambs,1,,,,
The Titanic,1,,,,
Top Gun,1,,,,
Waking Life,1,2001,"Animation, Drama, Fantasy",59947,7.8
When Harry Met Sally,1,1989,"Comedy, Drama, Romance",190839,7.6
Yeh Jawaani hai Deewani,1,2013,"Drama, Musical, Romance",37359,7.1
